id,date,tlt,ud,pmt,wp,a,p,q,oee,rate,wf,uf,rework,give,line,unit,std,chk,Remark,waste_film_remark,waste_pellet_remark
35890,2023-05-12,18.58,0.33,9200,0.01,98.22,42.01,100,41.26,12.6,6.5,938,0,25.114,A,PP3,30,1,24.00-01.00 เครื่อง Bagging ปล่อยถุงทิ้งบ่อยมากหยุดปรับแต่งเครื่อง เดิน Rate 15-20  MT/HRs,เครื่องปล่อยถุงเปล่ามากกำลังหาสาเหตุ,
35891,2023-05-12,18.33,2.5,17343,0,86.36,91.3,100,78.85,27.39,0.5,1695,0,25.115,B,PP3,30,1,08.00 - 10.00 ชุดจับถุงน็อตหักคาเอาออกเอง 16.30-17.00 Bottom seal ไม่ทำงาน ตรวจพบลวด Seal ขาด แก้ไข ถอดเปลี่ยนลวด Seal ใหม่ // ประกอบคืน ใช้งานได้ปกติแล้ว,,
35892,2023-05-12,2.92,0,3206,0,100,91.5,100,91.5,27.45,0.4,313,0,25.115,D,PPE,30,1,,,
35893,2023-05-13,8.92,0,14242,0,100,88.7,100,88.7,39.92,1.4,1408,0,25.115,A,PP12,45,1,,,
35894,2023-05-13,10,0,11163,0,100,93.02,100,93.02,27.91,1.2,1110,0,25.119,A,PPC,30,1,,,
35895,2023-05-13,8.67,0,9374,0,100,90.1,100,90.1,27.03,1.1,911,0,25.115,C,PP12,30,1,,,
35896,2023-05-13,13.67,0,9720,0,100,59.25,100,59.25,17.78,5,955,0,25.115,A,PP3,30,1,ยังมีปล่อยถุงเปล่านานๆครั้ง ต้องเดินเครื่องเรท (20 Ton/Hrs ) และเฝ้าคอย Reset,,
35897,2023-05-13,13.58,0,14789,0,100,90.75,100,90.75,27.23,1.04,1468,0,25.115,B,PP3,30,1,,,
35898,2023-05-13,5.33,0,5815,0,100,90.92,100,90.92,27.27,0.6,587,0,25.115,C,PPE,30,1,,,
35899,2023-05-13,6,0,6600,0,100,91.67,100,91.67,27.5,0.6,665,0,25.115,D,PPE,30,1,,,
35900,2023-05-14,11.08,0,11700,0,100,88,100,88,26.4,0.1,1097,0,25.116,C,PP12,30,1,-,"หัวม้วน,ท้ายม้วน",-
