wt
25.125
25.125
25.127
25.130
25.125
25.120
25.125
25.110
25.110
25.115
25.120
25.125
25.120
25.125
25.115
25.115
25.110
25.120
25.115
25.110
25.115
25.120
25.115
25.125
25.120
25.125
25.115
25.125
25.120
25.125
25.115
25.120
25.125
25.130
25.120
25.125
25.115
25.125
25.110
25.115
25.110
25.120
25.115
25.120
25.125
25.115
25.120
25.115
25.120
25.125
